epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4372.34,0.91676,0.75625,0.01461,0.91303,0.8426,0.92694,0.8113,0.62061,0.53155,0.0126,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4507.4,0.90432,0.73527,0.01447,0.89389,0.85897,0.91812,0.80374,0.62656,0.52654,0.01271,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4642.55,0.8946,0.72952,0.01415,0.90542,0.86759,0.92445,0.80884,0.60878,0.51084,0.01281,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4778.05,0.89601,0.70305,0.01432,0.92169,0.85346,0.92948,0.81573,0.60805,0.47758,0.01249,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4913.3,0.8843,0.69534,0.01409,0.8845,0.88808,0.92901,0.80941,0.6101,0.50383,0.01262,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5048.93,0.88126,0.68817,0.01406,0.88433,0.8859,0.92448,0.81346,0.60233,0.51048,0.01233,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5184.36,0.87854,0.68826,0.01388,0.89692,0.8988,0.93239,0.81939,0.60016,0.47259,0.01244,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5321.4,0.86729,0.67259,0.01386,0.8988,0.87628,0.93208,0.8186,0.59551,0.48227,0.01183,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5456.33,0.85126,0.67701,0.01364,0.91395,0.86526,0.92312,0.82032,0.57994,0.54084,0.01181,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5591.68,0.854,0.66312,0.0135,0.90154,0.86502,0.92662,0.82777,0.56846,0.48585,0.01145,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
